,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,3.0,50,0.0007137999637052417,"[0, 1, 0, 0, 0, 1, 0, 0]",50,0.1,500
1,100,14.0,153,0.005664700060151517,"[1, 1, 0, 0, 0, 0, 0, 0]",50,0.1,500
2,200,14.0,153,0.005664700060151517,"[1, 1, 0, 0, 0, 0, 0, 0]",50,0.1,500
3,300,14.0,153,0.005664700060151517,"[1, 1, 0, 0, 0, 0, 0, 0]",50,0.1,500
4,400,14.0,153,0.005664700060151517,"[1, 1, 0, 0, 0, 0, 0, 0]",50,0.1,500
5,500,14.0,153,0.005664700060151517,"[1, 1, 0, 0, 0, 0, 0, 0]",50,0.1,500
6,0,3.0,50,0.0005519000114873052,"[0, 1, 0, 0, 0, 1, 0, 0]",50,0.2,500
7,100,14.0,153,0.004292499972507358,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,500
8,200,14.0,153,0.004292499972507358,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,500
9,300,14.0,153,0.004292499972507358,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,500
10,400,14.0,153,0.004292499972507358,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,500
11,500,14.0,153,0.004292499972507358,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,500
12,0,3.0,50,0.0007748999632894993,"[0, 1, 0, 0, 0, 1, 0, 0]",50,0.3,500
13,100,14.0,153,0.004684700048528612,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.3,500
14,200,14.0,153,0.004684700048528612,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.3,500
15,300,14.0,153,0.004684700048528612,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.3,500
16,400,14.0,153,0.004684700048528612,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.3,500
17,500,14.0,153,0.004684700048528612,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.3,500
18,0,3.0,50,0.0005317999748513103,"[0, 1, 0, 0, 0, 1, 0, 0]",50,0.4,500
19,100,14.0,153,0.004269200027920306,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.4,500
20,200,14.0,153,0.004269200027920306,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.4,500
21,300,14.0,153,0.004269200027920306,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.4,500
22,400,14.0,153,0.004269200027920306,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.4,500
23,500,14.0,153,0.004269200027920306,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.4,500
24,0,3.0,50,0.0005374000174924731,"[0, 1, 0, 0, 0, 1, 0, 0]",50,0.5,500
25,100,14.0,153,0.004324000095948577,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,500
26,200,14.0,153,0.004324000095948577,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,500
27,300,14.0,153,0.004324000095948577,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,500
28,400,14.0,153,0.004324000095948577,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,500
29,500,14.0,153,0.004324000095948577,"[1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,500
30,0,3.0,100,0.0010449000401422381,"[0, 1, 0, 0, 0, 1, 0, 0]",100,0.1,500
31,100,14.0,303,0.007642100099474192,"[1, 1, 1, 1, 1, 1, 0, 0]",100,0.1,500
32,200,14.0,303,0.007642100099474192,"[1, 1, 1, 1, 1, 1, 0, 0]",100,0.1,500
33,300,14.0,303,0.007642100099474192,"[1, 1, 1, 1, 1, 1, 0, 0]",100,0.1,500
34,400,14.0,303,0.007642100099474192,"[1, 1, 1, 1, 1, 1, 0, 0]",100,0.1,500
35,500,14.0,303,0.007642100099474192,"[1, 1, 1, 1, 1, 1, 0, 0]",100,0.1,500
36,0,3.0,100,0.00101500004529953,"[0, 1, 0, 0, 0, 1, 0, 0]",100,0.2,500
37,100,14.0,303,0.007820799946784973,"[0, 0, 0, 0, 0, 0, 1, 1]",100,0.2,500
38,200,14.0,303,0.007820799946784973,"[0, 0, 0, 0, 0, 0, 1, 1]",100,0.2,500
39,300,14.0,303,0.007820799946784973,"[0, 0, 0, 0, 0, 0, 1, 1]",100,0.2,500
40,400,14.0,303,0.007820799946784973,"[0, 0, 0, 0, 0, 0, 1, 1]",100,0.2,500
41,500,14.0,303,0.007820799946784973,"[0, 0, 0, 0, 0, 0, 1, 1]",100,0.2,500
42,0,3.0,100,0.0010473000584170222,"[0, 1, 0, 0, 0, 1, 0, 0]",100,0.3,500
43,100,14.0,303,0.008114299969747663,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.3,500
44,200,14.0,303,0.008114299969747663,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.3,500
45,300,14.0,303,0.008114299969747663,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.3,500
46,400,14.0,303,0.008114299969747663,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.3,500
47,500,14.0,303,0.008114299969747663,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.3,500
48,0,3.0,100,0.00108149996958673,"[0, 1, 0, 0, 0, 1, 0, 0]",100,0.4,500
49,100,14.0,303,0.008336200029589236,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.4,500
50,200,14.0,303,0.008336200029589236,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.4,500
51,300,14.0,303,0.008336200029589236,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.4,500
52,400,14.0,303,0.008336200029589236,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.4,500
53,500,14.0,303,0.008336200029589236,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.4,500
54,0,3.0,100,0.0010493999579921365,"[0, 1, 0, 0, 0, 1, 0, 0]",100,0.5,500
55,100,14.0,303,0.007968600024469197,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.5,500
