,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,3.0,50,0.0007251999340951443,"[0, 1, 0, 0, 0, 1, 0, 0]",False,50,0.1,500
1,100,14.0,153,0.034513199934735894,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.1,500
2,200,14.0,153,0.034513199934735894,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.1,500
3,300,14.0,153,0.034513199934735894,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.1,500
4,400,14.0,153,0.034513199934735894,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.1,500
5,500,14.0,153,0.034513199934735894,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.1,500
6,0,3.0,50,0.0005499999970197678,"[0, 1, 0, 0, 0, 1, 0, 0]",False,50,0.2,500
7,100,14.0,153,0.034175199922174215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.2,500
8,200,14.0,153,0.034175199922174215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.2,500
9,300,14.0,153,0.034175199922174215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.2,500
10,400,14.0,153,0.034175199922174215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.2,500
11,500,14.0,153,0.034175199922174215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.2,500
12,0,3.0,50,0.0005668000085279346,"[0, 1, 0, 0, 0, 1, 0, 0]",False,50,0.3,500
13,100,14.0,153,0.038423200021497905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.3,500
14,200,14.0,153,0.038423200021497905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.3,500
15,300,14.0,153,0.038423200021497905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.3,500
16,400,14.0,153,0.038423200021497905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.3,500
17,500,14.0,153,0.038423200021497905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,50,0.3,500
18,0,3.0,50,0.0005862000398337841,"[0, 1, 0, 0, 0, 1, 0, 0]",False,50,0.4,500
19,100,14.0,153,0.03189460001885891,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.4,500
20,200,14.0,153,0.03189460001885891,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.4,500
21,300,14.0,153,0.03189460001885891,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.4,500
22,400,14.0,153,0.03189460001885891,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.4,500
23,500,14.0,153,0.03189460001885891,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.4,500
24,0,3.0,50,0.0004913000157102942,"[0, 1, 0, 0, 0, 1, 0, 0]",False,50,0.5,500
25,100,14.0,153,0.03483720007352531,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.5,500
26,200,14.0,153,0.03483720007352531,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.5,500
27,300,14.0,153,0.03483720007352531,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.5,500
28,400,14.0,153,0.03483720007352531,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.5,500
29,500,14.0,153,0.03483720007352531,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,50,0.5,500
30,0,3.0,100,0.0009191000135615468,"[0, 1, 0, 0, 0, 1, 0, 0]",False,100,0.1,500
31,100,14.0,303,0.028496699989773333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.1,500
32,200,14.0,303,0.028496699989773333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.1,500
33,300,14.0,303,0.028496699989773333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.1,500
34,400,14.0,303,0.028496699989773333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.1,500
35,500,14.0,303,0.028496699989773333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.1,500
36,0,3.0,100,0.0009046999039128423,"[0, 1, 0, 0, 0, 1, 0, 0]",False,100,0.2,500
37,100,14.0,303,0.02757879998534918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.2,500
38,200,14.0,303,0.02757879998534918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.2,500
39,300,14.0,303,0.02757879998534918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.2,500
40,400,14.0,303,0.02757879998534918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.2,500
41,500,14.0,303,0.02757879998534918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.2,500
42,0,3.0,100,0.0008387999841943383,"[0, 1, 0, 0, 0, 1, 0, 0]",False,100,0.3,500
43,100,14.0,303,0.027141799917444587,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.3,500
44,200,14.0,303,0.027141799917444587,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.3,500
45,300,14.0,303,0.027141799917444587,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.3,500
46,400,14.0,303,0.027141799917444587,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.3,500
47,500,14.0,303,0.027141799917444587,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.3,500
48,0,3.0,100,0.000849400064907968,"[0, 1, 0, 0, 0, 1, 0, 0]",False,100,0.4,500
49,100,14.0,303,0.027173600043170154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.4,500
50,200,14.0,303,0.027173600043170154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.4,500
51,300,14.0,303,0.027173600043170154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.4,500
52,400,14.0,303,0.027173600043170154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.4,500
53,500,14.0,303,0.027173600043170154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.4,500
54,0,3.0,100,0.0008530999766662717,"[0, 1, 0, 0, 0, 1, 0, 0]",False,100,0.5,500
55,100,14.0,303,0.02731029991991818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.5,500
56,200,14.0,303,0.02731029991991818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.5,500
57,300,14.0,303,0.02731029991991818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.5,500
58,400,14.0,303,0.02731029991991818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.5,500
59,500,14.0,303,0.02731029991991818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,100,0.5,500
60,0,3.0,150,0.0012717999052256346,"[0, 1, 0, 0, 0, 1, 0, 0]",False,150,0.1,500
61,100,14.0,453,0.029342399910092354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,150,0.1,500
62,200,14.0,453,0.029342399910092354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,150,0.1,500
63,300,14.0,453,0.029342399910092354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,150,0.1,500
64,400,14.0,453,0.029342399910092354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,150,0.1,500
65,500,14.0,453,0.029342399910092354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,150,0.1,500
66,0,3.0,150,0.001285900012589991,"[0, 1, 0, 0, 0, 1, 0, 0]",False,150,0.2,500
67,100,14.0,453,0.02796209999360144,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.2,500
