,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,3.0,0,0.00010160007514059544,"[0, 1, 0, 0, 0, 1, 0, 0]",1,600,0
1,200,13.0,104,0.0029057000065222383,"[0, 0, 0, 0, 0, 1, 1, 0]",1,600,0
2,300,13.0,104,0.0029057000065222383,"[0, 0, 0, 0, 0, 1, 1, 0]",1,600,0
3,400,13.0,104,0.0029057000065222383,"[0, 0, 0, 0, 0, 1, 1, 0]",1,600,0
4,500,13.0,104,0.0029057000065222383,"[0, 0, 0, 0, 0, 1, 1, 0]",1,600,0
5,600,13.0,104,0.0029057000065222383,"[0, 0, 0, 0, 0, 1, 1, 0]",1,600,0
6,0,2.0,104,0.0038666999898850918,"[1, 0, 1, 1, 0, 1, 0, 1]",1,600,1
7,200,14.0,212,0.008192500099539757,"[1, 1, 1, 1, 1, 1, 0, 0]",1,600,1
8,300,14.0,212,0.008192500099539757,"[1, 1, 1, 1, 1, 1, 0, 0]",1,600,1
9,400,14.0,212,0.008192500099539757,"[1, 1, 1, 1, 1, 1, 0, 0]",1,600,1
10,500,14.0,212,0.008192500099539757,"[1, 1, 1, 1, 1, 1, 0, 0]",1,600,1
11,600,14.0,212,0.008192500099539757,"[1, 1, 1, 1, 1, 1, 0, 0]",1,600,1
12,0,3.0,0,5.13000413775444e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",2,600,0
13,200,13.0,104,0.002923400024883449,"[0, 0, 0, 0, 0, 1, 1, 0]",2,600,0
14,300,13.0,104,0.002923400024883449,"[0, 0, 0, 0, 0, 1, 1, 0]",2,600,0
15,400,13.0,104,0.002923400024883449,"[0, 0, 0, 0, 0, 1, 1, 0]",2,600,0
16,500,13.0,104,0.002923400024883449,"[0, 0, 0, 0, 0, 1, 1, 0]",2,600,0
17,600,13.0,104,0.002923400024883449,"[0, 0, 0, 0, 0, 1, 1, 0]",2,600,0
18,0,2.0,104,0.008202800061553717,"[1, 0, 1, 1, 0, 1, 0, 1]",2,600,1
19,200,14.0,212,0.012906700023449957,"[1, 1, 1, 1, 1, 1, 0, 0]",2,600,1
20,300,14.0,212,0.012906700023449957,"[1, 1, 1, 1, 1, 1, 0, 0]",2,600,1
21,400,14.0,212,0.012906700023449957,"[1, 1, 1, 1, 1, 1, 0, 0]",2,600,1
22,500,14.0,212,0.012906700023449957,"[1, 1, 1, 1, 1, 1, 0, 0]",2,600,1
23,600,14.0,212,0.012906700023449957,"[1, 1, 1, 1, 1, 1, 0, 0]",2,600,1
24,0,11.0,212,0.014419600018300116,"[1, 1, 1, 0, 1, 0, 0, 1]",2,600,2
25,200,13.0,314,0.021101600024849176,"[1, 1, 1, 1, 1, 0, 0, 1]",2,600,2
26,300,13.0,314,0.021101600024849176,"[1, 1, 1, 1, 1, 0, 0, 1]",2,600,2
27,400,13.0,314,0.021101600024849176,"[1, 1, 1, 1, 1, 0, 0, 1]",2,600,2
28,500,13.0,314,0.021101600024849176,"[1, 1, 1, 1, 1, 0, 0, 1]",2,600,2
29,600,13.0,314,0.021101600024849176,"[1, 1, 1, 1, 1, 0, 0, 1]",2,600,2
30,0,3.0,0,6.420002318918705e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",3,600,0
31,200,13.0,104,0.003172299941070378,"[0, 0, 0, 0, 0, 1, 1, 0]",3,600,0
32,300,13.0,104,0.003172299941070378,"[0, 0, 0, 0, 0, 1, 1, 0]",3,600,0
33,400,13.0,104,0.003172299941070378,"[0, 0, 0, 0, 0, 1, 1, 0]",3,600,0
34,500,13.0,104,0.003172299941070378,"[0, 0, 0, 0, 0, 1, 1, 0]",3,600,0
35,600,13.0,104,0.003172299941070378,"[0, 0, 0, 0, 0, 1, 1, 0]",3,600,0
36,0,2.0,104,0.004662199993617833,"[1, 0, 1, 1, 0, 1, 0, 1]",3,600,1
37,200,14.0,212,0.009696200024336576,"[1, 1, 1, 1, 1, 1, 0, 0]",3,600,1
38,300,14.0,212,0.009696200024336576,"[1, 1, 1, 1, 1, 1, 0, 0]",3,600,1
39,400,14.0,212,0.009696200024336576,"[1, 1, 1, 1, 1, 1, 0, 0]",3,600,1
40,500,14.0,212,0.009696200024336576,"[1, 1, 1, 1, 1, 1, 0, 0]",3,600,1
41,600,14.0,212,0.009696200024336576,"[1, 1, 1, 1, 1, 1, 0, 0]",3,600,1
42,0,11.0,212,0.011306999949738383,"[1, 1, 1, 0, 1, 0, 0, 1]",3,600,2
43,200,13.0,314,0.01809459994547069,"[1, 1, 1, 1, 1, 0, 0, 1]",3,600,2
44,300,13.0,314,0.01809459994547069,"[1, 1, 1, 1, 1, 0, 0, 1]",3,600,2
