,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3.0,0,9.749992750585079e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.999999020093463,1,700
1,100,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
2,200,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
3,300,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
4,400,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
5,500,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
6,600,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
7,700,13.0,5,0.0015175000298768282,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999847487313438,1,700
8,0,3.0,0,5.1200040616095066e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",geometric,2,0.99,0.001,1.999998970845057,2,700
9,100,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
10,200,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
11,300,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
12,400,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
13,500,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
14,600,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
15,700,13.0,13,0.001018799957819283,"[0, 0, 0, 0, 0, 1, 1, 0]",geometric,2,0.99,0.001,1.9999795215413554,2,700
16,0,3.0,0,4.730001091957092e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",geometric,3,0.99,0.001,2.999998573857352,3,700
17,100,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
18,200,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
19,300,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
20,400,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
21,500,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
22,600,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
23,700,14.0,17,0.0009559999452903867,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,3,0.99,0.001,2.999971175776895,3,700
24,0,3.0,0,4.529999569058418e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",geometric,4,0.99,0.001,3.999998178879731,4,700
25,100,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
26,200,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
27,300,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
28,400,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
29,500,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
30,600,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
31,700,14.0,17,0.0010300999274477363,"[0, 0, 0, 0, 0, 0, 1, 1]",geometric,4,0.99,0.001,3.999958588813428,4,700
