,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,10.0,50,0.0015464999996765982,"[3, 4, 2, 4, 4, 1]",50,0.1,100
1,100,14.0,5152,0.21517270000185817,"[3, 0, 2, 4, 1, 1]",50,0.1,100
2,0,10.0,50,0.000908900001377333,"[3, 4, 2, 4, 4, 1]",50,0.2,100
3,100,14.0,5152,0.1996937000003527,"[4, 3, 0, 2, 5, 1]",50,0.2,100
4,0,10.0,50,0.0008421999991696794,"[3, 4, 2, 4, 4, 1]",50,0.3,100
5,100,14.0,5152,0.19960189999983413,"[5, 2, 0, 3, 1, 4]",50,0.3,100
6,0,10.0,50,0.0008433000002696645,"[3, 4, 2, 4, 4, 1]",50,0.4,100
7,100,14.0,5152,0.2138212999998359,"[1, 4, 4, 0, 3, 5]",50,0.4,100
8,0,10.0,50,0.0008629000003566034,"[3, 4, 2, 4, 4, 1]",50,0.5,100
9,100,15.0,5153,0.20499630000267643,"[4, 2, 0, 5, 3, 1]",50,0.5,100
10,0,10.0,100,0.0016500999990967102,"[3, 4, 2, 4, 4, 1]",100,0.1,100
11,100,14.0,10201,0.42038700000193785,"[2, 0, 3, 1, 4, 1]",100,0.1,100
12,0,10.0,100,0.001617199999600416,"[3, 4, 2, 4, 4, 1]",100,0.2,100
13,100,15.0,10202,0.423847800000658,"[1, 3, 5, 0, 2, 4]",100,0.2,100
14,0,10.0,100,0.0016456000012112781,"[3, 4, 2, 4, 4, 1]",100,0.3,100
15,100,14.0,10201,0.4030464000024949,"[2, 0, 3, 1, 4, 1]",100,0.3,100
16,0,10.0,100,0.0016393000005336944,"[3, 4, 2, 4, 4, 1]",100,0.4,100
17,100,15.0,10202,0.4082345999995596,"[3, 0, 4, 1, 5, 2]",100,0.4,100
18,0,10.0,100,0.0016203999985009432,"[3, 4, 2, 4, 4, 1]",100,0.5,100
19,100,14.0,10201,0.4064693000000261,"[3, 1, 3, 5, 0, 4]",100,0.5,100
20,0,10.0,150,0.0024179000029107556,"[3, 4, 2, 4, 4, 1]",150,0.1,100
21,100,14.0,15251,0.5879329000017606,"[3, 0, 3, 1, 4, 2]",150,0.1,100
22,0,10.0,150,0.00244110000130604,"[3, 4, 2, 4, 4, 1]",150,0.2,100
23,100,15.0,15252,0.6080065000023751,"[2, 5, 1, 4, 0, 3]",150,0.2,100
24,0,10.0,150,0.002518599998438731,"[3, 4, 2, 4, 4, 1]",150,0.3,100
25,100,14.0,15251,0.6068455999993603,"[0, 4, 1, 5, 0, 2]",150,0.3,100
26,0,10.0,150,0.0025354999997944105,"[3, 4, 2, 4, 4, 1]",150,0.4,100
27,100,15.0,15252,0.6044707999972161,"[4, 2, 0, 5, 3, 1]",150,0.4,100
28,0,10.0,150,0.00240240000130143,"[3, 4, 2, 4, 4, 1]",150,0.5,100
29,100,15.0,15252,0.622288300000946,"[2, 5, 1, 4, 0, 3]",150,0.5,100
30,0,10.0,200,0.003232999999454478,"[3, 4, 2, 4, 4, 1]",200,0.1,100
31,100,15.0,20302,0.7914975999992748,"[3, 0, 4, 1, 5, 2]",200,0.1,100
32,0,10.0,200,0.0031960999986040406,"[3, 4, 2, 4, 4, 1]",200,0.2,100
33,100,15.0,20302,0.7978523999991012,"[4, 2, 0, 5, 3, 1]",200,0.2,100
34,0,10.0,200,0.003212399999029003,"[3, 4, 2, 4, 4, 1]",200,0.3,100
35,100,15.0,20302,0.8193272999997134,"[3, 0, 4, 1, 5, 2]",200,0.3,100
36,0,10.0,200,0.003230899998015957,"[3, 4, 2, 4, 4, 1]",200,0.4,100
37,100,15.0,20302,0.8137676999976975,"[1, 3, 5, 0, 2, 4]",200,0.4,100
38,0,10.0,200,0.003208500002074288,"[3, 4, 2, 4, 4, 1]",200,0.5,100
39,100,15.0,20302,0.8410860000003595,"[4, 2, 0, 5, 3, 1]",200,0.5,100
40,0,10.0,250,0.003941500002838438,"[3, 4, 2, 4, 4, 1]",250,0.1,100
41,100,15.0,25352,0.993331700003182,"[1, 3, 5, 0, 2, 4]",250,0.1,100
42,0,10.0,250,0.0042212999978801236,"[3, 4, 2, 4, 4, 1]",250,0.2,100
43,100,15.0,25352,1.0280620999983512,"[2, 5, 1, 4, 0, 3]",250,0.2,100
44,0,10.0,250,0.0037716000006184913,"[3, 4, 2, 4, 4, 1]",250,0.3,100
45,100,15.0,25352,1.0284974000023794,"[4, 2, 0, 5, 3, 1]",250,0.3,100
46,0,10.0,250,0.003988899999967543,"[3, 4, 2, 4, 4, 1]",250,0.4,100
47,100,15.0,25352,1.0994796999984828,"[2, 5, 1, 4, 0, 3]",250,0.4,100
48,0,10.0,250,0.004008599997177953,"[3, 4, 2, 4, 4, 1]",250,0.5,100
49,100,15.0,25352,1.054794399999082,"[1, 3, 5, 0, 2, 4]",250,0.5,100
50,0,10.0,300,0.004664399999455782,"[3, 4, 2, 4, 4, 1]",300,0.1,100
51,100,15.0,30402,1.2627195999994,"[3, 0, 4, 1, 5, 2]",300,0.1,100
52,0,10.0,300,0.00484380000125384,"[3, 4, 2, 4, 4, 1]",300,0.2,100
53,100,14.0,30401,1.2402862000017194,"[2, 0, 3, 1, 4, 1]",300,0.2,100
54,0,10.0,300,0.004811800001334632,"[3, 4, 2, 4, 4, 1]",300,0.3,100
55,100,15.0,30402,1.2565478000033181,"[2, 5, 1, 4, 0, 3]",300,0.3,100
56,0,10.0,300,0.00474219999887282,"[3, 4, 2, 4, 4, 1]",300,0.4,100
57,100,14.0,30401,1.2535434999990684,"[2, 0, 3, 1, 4, 1]",300,0.4,100
58,0,10.0,300,0.004787300000316463,"[3, 4, 2, 4, 4, 1]",300,0.5,100
59,100,15.0,30402,1.3789085999997042,"[2, 5, 1, 4, 0, 3]",300,0.5,100
60,0,10.0,350,0.005680199999915203,"[3, 4, 2, 4, 4, 1]",350,0.1,100
61,100,15.0,35451,1.441986599998927,"[3, 0, 4, 1, 5, 2]",350,0.1,100
62,0,10.0,350,0.0055322000007436145,"[3, 4, 2, 4, 4, 1]",350,0.2,100
63,100,15.0,35451,1.471932199998264,"[3, 0, 4, 1, 5, 2]",350,0.2,100
64,0,10.0,350,0.0056304999998246785,"[3, 4, 2, 4, 4, 1]",350,0.3,100
65,100,15.0,35452,1.4840337000023283,"[3, 0, 4, 1, 5, 2]",350,0.3,100
66,0,10.0,350,0.0057357000005140435,"[3, 4, 2, 4, 4, 1]",350,0.4,100
67,100,15.0,35452,1.6344718000000285,"[4, 2, 0, 5, 3, 1]",350,0.4,100
68,0,10.0,350,0.005751699998654658,"[3, 4, 2, 4, 4, 1]",350,0.5,100
69,100,15.0,35452,1.584030599999096,"[1, 3, 5, 0, 2, 4]",350,0.5,100
70,0,10.0,400,0.006583599999430589,"[3, 4, 2, 4, 4, 1]",400,0.1,100
71,100,14.0,40501,1.7151043999983813,"[2, 4, 1, 3, 0, 5]",400,0.1,100
72,0,10.0,400,0.006581199999345699,"[3, 4, 2, 4, 4, 1]",400,0.2,100
73,100,15.0,40502,1.7242842999985442,"[1, 3, 5, 0, 2, 4]",400,0.2,100
74,0,10.0,400,0.006264899999223417,"[3, 4, 2, 4, 4, 1]",400,0.3,100
75,100,15.0,40502,1.776846699998714,"[2, 5, 1, 4, 0, 3]",400,0.3,100
76,0,10.0,400,0.006468799998401664,"[3, 4, 2, 4, 4, 1]",400,0.4,100
77,100,15.0,40502,1.7545113999985915,"[1, 3, 5, 0, 2, 4]",400,0.4,100
78,0,10.0,400,0.006514699998660944,"[3, 4, 2, 4, 4, 1]",400,0.5,100
79,100,15.0,40502,1.744451200000185,"[1, 3, 5, 0, 2, 4]",400,0.5,100
