,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,10.0,50,0.0014766999993298668,"[3, 4, 2, 4, 4, 1]",False,50,0.1,500
1,500,13.0,5202,1.1537215999996988,"[4.0, 0.0, 2.0, 5.0, 1.0, 3.0]",False,50,0.1,500
2,0,10.0,50,0.0008727000022190623,"[3, 4, 2, 4, 4, 1]",False,50,0.2,500
3,500,13.0,5202,1.163859300002514,"[3.0, 0.0, 2.0, 4.0, 5.0, 3.0]",False,50,0.2,500
4,0,10.0,50,0.0008945000008679926,"[3, 4, 2, 4, 4, 1]",False,50,0.3,500
5,500,13.0,5202,1.1378987000025518,"[3.0, 0.0, 2.0, 4.0, 5.0, 3.0]",False,50,0.3,500
6,0,10.0,50,0.0009158999964711256,"[3, 4, 2, 4, 4, 1]",False,50,0.4,500
7,500,14.0,5202,1.156091099997866,"[5.0, 4.0, 2.0, 0.0, 3.0, 1.0]",False,50,0.4,500
8,0,10.0,50,0.0008618000028945971,"[3, 4, 2, 4, 4, 1]",False,50,0.5,500
9,500,14.0,5202,1.123033600000781,"[5.0, 4.0, 2.0, 0.0, 3.0, 1.0]",False,50,0.5,500
10,0,10.0,100,0.001950300000316929,"[3, 4, 2, 4, 4, 1]",False,100,0.1,500
11,500,14.0,10302,1.2179179999984626,"[2.0, 0.0, 3.0, 1.0, 4.0, 1.0]",False,100,0.1,500
12,0,10.0,100,0.0018289999970875215,"[3, 4, 2, 4, 4, 1]",False,100,0.2,500
13,500,14.0,10302,1.2623703999997815,"[2.0, 0.0, 3.0, 0.0, 4.0, 1.0]",False,100,0.2,500
14,0,10.0,100,0.0016708000002836343,"[3, 4, 2, 4, 4, 1]",False,100,0.3,500
15,500,14.0,10302,1.250677200001519,"[2.0, 0.0, 3.0, 0.0, 4.0, 1.0]",False,100,0.3,500
16,0,10.0,100,0.0016381999994337093,"[3, 4, 2, 4, 4, 1]",False,100,0.4,500
17,500,14.0,10404,1.277733899998566,"[5.0, 0.0, 3.0, 1.0, 4.0, 2.0]",False,100,0.4,500
18,0,10.0,100,0.0016247999992629047,"[3, 4, 2, 4, 4, 1]",False,100,0.5,500
19,500,14.0,10404,1.2973448000011558,"[5.0, 0.0, 3.0, 1.0, 4.0, 2.0]",False,100,0.5,500
20,0,10.0,150,0.0024575999996159226,"[3, 4, 2, 4, 4, 1]",False,150,0.1,500
21,500,14.0,15402,1.330075300000317,"[0.0, 2.0, 5.0, 5.0, 1.0, 4.0]",False,150,0.1,500
22,0,10.0,150,0.0024651000021549407,"[3, 4, 2, 4, 4, 1]",False,150,0.2,500
23,500,14.0,15402,1.3011513000019477,"[5.0, 1.0, 1.0, 4.0, 0.0, 3.0]",False,150,0.2,500
24,0,10.0,150,0.002401999998255633,"[3, 4, 2, 4, 4, 1]",False,150,0.3,500
25,500,14.0,15402,1.3126400000001013,"[5.0, 1.0, 1.0, 4.0, 0.0, 3.0]",False,150,0.3,500
26,0,10.0,150,0.003092799997830298,"[3, 4, 2, 4, 4, 1]",False,150,0.4,500
27,500,15.0,15402,1.3033439999999246,"[1.0, 3.0, 5.0, 0.0, 2.0, 4.0]",False,150,0.4,500
28,0,10.0,150,0.0024316000017279293,"[3, 4, 2, 4, 4, 1]",False,150,0.5,500
29,500,15.0,15402,1.349036999999953,"[1.0, 3.0, 5.0, 0.0, 2.0, 4.0]",False,150,0.5,500
30,0,10.0,200,0.003225899999961257,"[3, 4, 2, 4, 4, 1]",False,200,0.1,500
31,500,14.0,20502,1.408621000002313,"[2.0, 0.0, 5.0, 1.0, 4.0, 1.0]",False,200,0.1,500
32,0,10.0,200,0.00323009999920032,"[3, 4, 2, 4, 4, 1]",False,200,0.2,500
33,500,14.0,20502,1.345129100001941,"[5.0, 3.0, 0.0, 4.0, 4.0, 1.0]",False,200,0.2,500
34,0,10.0,200,0.0035409000010986347,"[3, 4, 2, 4, 4, 1]",False,200,0.3,500
35,500,14.0,20502,1.3245563999989827,"[5.0, 3.0, 0.0, 4.0, 4.0, 1.0]",False,200,0.3,500
36,0,10.0,200,0.003297499999462161,"[3, 4, 2, 4, 4, 1]",False,200,0.4,500
37,500,14.0,20502,1.395590699998138,"[1.0, 4.0, 2.0, 0.0, 3.0, 1.0]",False,200,0.4,500
38,0,10.0,200,0.0033975000005739275,"[3, 4, 2, 4, 4, 1]",False,200,0.5,500
39,500,14.0,20502,1.4194606999990356,"[1.0, 4.0, 2.0, 0.0, 3.0, 1.0]",False,200,0.5,500
40,0,10.0,250,0.0039966000003914814,"[3, 4, 2, 4, 4, 1]",False,250,0.1,500
41,500,14.0,25602,1.440478799999255,"[2.0, 0.0, 5.0, 1.0, 4.0, 1.0]",False,250,0.1,500
42,0,10.0,250,0.003869199998007389,"[3, 4, 2, 4, 4, 1]",False,250,0.2,500
43,500,15.0,26105,1.466622299998562,"[1.0, 3.0, 5.0, 0.0, 2.0, 4.0]",False,250,0.2,500
44,0,10.0,250,0.0040442999998049345,"[3, 4, 2, 4, 4, 1]",False,250,0.3,500
