,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,10.0,0,0.00010180000003856549,"[3, 4, 2, 4, 4, 1]",geometric,10000,0.99,0.001,9999.989768763331,10000,500
1,100,8.0,200,0.005281500000023698,"[5, 2, 0, 2, 2, 3]",geometric,10000,0.99,0.001,9999.469205599527,10000,500
2,200,10.0,400,0.014119499999992513,"[5, 2, 2, 0, 2, 3]",geometric,10000,0.99,0.001,9998.581043510567,10000,500
3,300,8.0,600,0.026360199999999168,"[1, 5, 2, 2, 2, 2]",geometric,10000,0.99,0.001,9997.351062273869,10000,500
4,400,8.0,800,0.041396399999939604,"[0, 1, 1, 0, 0, 4]",geometric,10000,0.99,0.001,9995.840388127273,10000,500
5,500,13.0,999,0.0583152000000382,"[4, 3, 5, 0, 2, 0]",geometric,10000,0.99,0.001,9994.140843702753,10000,500
6,0,10.0,0,6.940000002941815e-05,"[3, 4, 2, 4, 4, 1]",geometric,1000000,0.99,0.001,999999.3025069347,1000000,500
7,100,8.0,200,0.005579699999998411,"[5, 2, 0, 2, 2, 3]",geometric,1000000,0.99,0.001,999943.923713372,1000000,500
8,200,10.0,400,0.013639100000091275,"[5, 2, 2, 0, 2, 3]",geometric,1000000,0.99,0.001,999862.9318589556,1000000,500
9,300,8.0,600,0.025341300000036426,"[1, 5, 2, 2, 2, 2]",geometric,1000000,0.99,0.001,999745.3438544173,1000000,500
10,400,8.0,800,0.03747900000007576,"[0, 1, 1, 0, 0, 4]",geometric,1000000,0.99,0.001,999623.3943962462,1000000,500
11,500,10.0,1000,0.05124269999998887,"[4, 3, 2, 0, 2, 0]",geometric,1000000,0.99,0.001,999485.1262479646,1000000,500
12,0,10.0,0,6.110000003900495e-05,"[3, 4, 2, 4, 4, 1]",geometric,100000000,0.99,0.001,99999938.59246676,100000000,500
13,100,8.0,200,0.0057563000000300235,"[5, 2, 0, 2, 2, 3]",geometric,100000000,0.99,0.001,99994214.89251642,100000000,500
14,200,10.0,400,0.013650400000074114,"[5, 2, 2, 0, 2, 3]",geometric,100000000,0.99,0.001,99986281.83057338,100000000,500
15,300,8.0,600,0.023563800000033552,"[1, 5, 2, 2, 2, 2]",geometric,100000000,0.99,0.001,99976320.39366294,100000000,500
16,400,8.0,800,0.03597710000008192,"[0, 1, 1, 0, 0, 4]",geometric,100000000,0.99,0.001,99963848.34248349,100000000,500
17,500,10.0,1000,0.05011269999999968,"[4, 3, 2, 0, 2, 0]",geometric,100000000,0.99,0.001,99949647.73445761,100000000,500
18,0,10.0,0,5.7700000070326496e-05,"[3, 4, 2, 4, 4, 1]",geometric,10000000000,0.99,0.001,9999994200.957888,10000000000,500
19,100,8.0,200,0.006084999999984575,"[5, 2, 0, 2, 2, 3]",geometric,10000000000,0.99,0.001,9999388455.763395,10000000000,500
20,200,10.0,400,0.014935600000058002,"[5, 2, 2, 0, 2, 3]",geometric,10000000000,0.99,0.001,9998499034.694374,10000000000,500
21,300,8.0,600,0.025795399999992696,"[1, 5, 2, 2, 2, 2]",geometric,10000000000,0.99,0.001,9997407811.695328,10000000000,500
22,400,8.0,800,0.038004300000011426,"[0, 1, 1, 0, 0, 4]",geometric,10000000000,0.99,0.001,9996181169.570211,10000000000,500
23,500,10.0,1000,0.05225930000005974,"[4, 3, 2, 0, 2, 0]",geometric,10000000000,0.99,0.001,9994749143.892569,10000000000,500
24,0,10.0,0,8.470000000215805e-05,"[3, 4, 2, 4, 4, 1]",geometric,1000000000000,0.99,0.001,999999148736.9155,1000000000000,500
25,100,8.0,200,0.006857399999944391,"[5, 2, 0, 2, 2, 3]",geometric,1000000000000,0.99,0.001,999931083201.7904,1000000000000,500
26,200,10.0,400,0.015567700000019613,"[5, 2, 2, 0, 2, 3]",geometric,1000000000000,0.99,0.001,999843551625.8567,1000000000000,500
27,300,8.0,600,0.02650929999992968,"[1, 5, 2, 2, 2, 2]",geometric,1000000000000,0.99,0.001,999733608120.3789,1000000000000,500
28,400,8.0,800,0.039728500000023814,"[0, 1, 1, 0, 0, 4]",geometric,1000000000000,0.99,0.001,999600794935.5984,1000000000000,500
29,500,10.0,1000,0.05440249999992375,"[4, 3, 2, 0, 2, 0]",geometric,1000000000000,0.99,0.001,999453386051.5977,1000000000000,500
