,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,10.0,0,0.0003431999939493835,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,1,0.99,0.001,0.9999965507307447,1,8192
1,1,8.0,2,0.006190199987031519,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9999377883463552,1,8192
2,2,5.0,4,0.010419900005217642,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9998952819887014,1,8192
3,4,5.0,8,0.01449760000105016,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9998543048654869,1,8192
4,8,5.0,15,0.01911699998890981,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9998078861858227,1,8192
5,16,4.0,30,0.024842599988915026,"[6, 4, 6, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9997503546932139,1,8192
6,32,4.0,49,0.03104259999236092,"[1, 4, 6, 0, 2, 7, 6, 4]",geometric,1,0.99,0.001,0.9996880601076794,1,8192
7,64,3.0,92,0.04092520000995137,"[7, 4, 6, 0, 2, 7, 7, 7]",geometric,1,0.99,0.001,0.9995887725722147,1,8192
8,128,2.0,167,0.05622830000356771,"[1, 4, 6, 0, 2, 5, 5, 7]",geometric,1,0.99,0.001,0.9994350463469391,1,8192
9,256,0.0,306,0.08437319999211468,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9991523804356299,1,8192
10,512,0.0,562,0.14421860000584275,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.998551604572217,1,8192
11,1024,0.0,785,0.21004099998390302,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978912439638937,1,8192
12,2048,0.0,785,0.21004099998390302,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978912439638937,1,8192
13,4096,0.0,785,0.21004099998390302,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978912439638937,1,8192
14,8192,0.0,785,0.21004099998390302,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978912439638937,1,8192
15,0,10.0,0,0.00035829999251291156,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,10,0.99,0.001,9.999963989712226,10,8192
16,1,8.0,2,0.007318199990550056,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.999264523370138,10,8192
17,2,5.0,4,0.014124700013780966,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.998580520965886,10,8192
18,4,5.0,8,0.0214640999911353,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.997843018524872,10,8192
19,8,5.0,16,0.029087400005664676,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.997077045874681,10,8192
20,16,5.0,32,0.037600899988319725,"[2, 4, 5, 7, 0, 7, 3, 0]",geometric,10,0.99,0.001,9.99622169722567,10,8192
21,32,4.0,62,0.04818280000472441,"[6, 7, 5, 2, 6, 1, 7, 4]",geometric,10,0.99,0.001,9.995158639093065,10,8192
22,64,8.0,126,0.06331040000077337,"[7, 1, 3, 3, 5, 4, 7, 3]",geometric,10,0.99,0.001,9.993639116070245,10,8192
23,128,8.0,248,0.08694169999216683,"[5, 1, 1, 5, 4, 4, 2, 0]",geometric,10,0.99,0.001,9.991265883615885,10,8192
24,256,5.0,463,0.12661999999545515,"[0, 7, 4, 2, 5, 1, 0, 4]",geometric,10,0.99,0.001,9.98728235852597,10,8192
25,512,0.0,749,0.19292279999353923,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.980629395940483,10,8192
26,1024,0.0,1086,0.2972948999959044,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.97016545778815,10,8192
27,2048,0.0,1086,0.2972948999959044,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.97016545778815,10,8192
28,4096,0.0,1086,0.2972948999959044,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.97016545778815,10,8192
29,8192,0.0,1086,0.2972948999959044,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.97016545778815,10,8192
30,0,10.0,0,0.0003445000038482249,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,50,0.99,0.001,49.999826883262685,50,8192
31,1,8.0,2,0.011148899997351691,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.994397804400876,50,8192
32,2,5.0,4,0.021693200018489733,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.98909999097852,50,8192
33,4,5.0,8,0.03787230001762509,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.98097215477168,50,8192
34,8,5.0,16,0.05174320001970045,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.97400493286156,50,8192
35,16,5.0,32,0.06536550002056174,"[2, 4, 5, 7, 0, 7, 3, 0]",geometric,50,0.99,0.001,49.967163525641595,50,8192
