,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,194.74016767734764,0,0.0002445999998599291,"[1, 5, 0, 7, 2, 4, 3, 6]",1,500,0
1,100,104.31347041678433,104,0.011552399999345653,"[1, 5, 0, 6, 2, 3, 4, 7]",1,500,0
2,200,104.31347041678433,174,0.01904359999753069,"[1, 5, 0, 6, 2, 3, 4, 7]",1,500,0
3,300,104.31347041678433,174,0.01904359999753069,"[1, 5, 0, 6, 2, 3, 4, 7]",1,500,0
4,400,104.31347041678433,174,0.01904359999753069,"[1, 5, 0, 6, 2, 3, 4, 7]",1,500,0
5,500,104.31347041678433,174,0.01904359999753069,"[1, 5, 0, 6, 2, 3, 4, 7]",1,500,0
6,0,163.99634249418605,174,0.020932100000209175,"[3, 7, 1, 4, 0, 2, 5, 6]",1,500,1
7,100,104.31347041678433,278,0.031185899999400135,"[5, 1, 7, 4, 3, 2, 6, 0]",1,500,1
8,200,104.31347041678433,291,0.03399619999981951,"[5, 1, 7, 4, 3, 2, 6, 0]",1,500,1
9,300,104.31347041678433,291,0.03399619999981951,"[5, 1, 7, 4, 3, 2, 6, 0]",1,500,1
10,400,104.31347041678433,291,0.03399619999981951,"[5, 1, 7, 4, 3, 2, 6, 0]",1,500,1
11,500,104.31347041678433,291,0.03399619999981951,"[5, 1, 7, 4, 3, 2, 6, 0]",1,500,1
12,0,194.74016767734764,0,8.879999950295314e-05,"[1, 5, 0, 7, 2, 4, 3, 6]",2,500,0
13,100,104.31347041678433,104,0.006448400003137067,"[1, 5, 0, 6, 2, 3, 4, 7]",2,500,0
14,200,104.31347041678433,174,0.012704100001428742,"[1, 5, 0, 6, 2, 3, 4, 7]",2,500,0
15,300,104.31347041678433,174,0.012704100001428742,"[1, 5, 0, 6, 2, 3, 4, 7]",2,500,0
16,400,104.31347041678433,174,0.012704100001428742,"[1, 5, 0, 6, 2, 3, 4, 7]",2,500,0
17,500,104.31347041678433,174,0.012704100001428742,"[1, 5, 0, 6, 2, 3, 4, 7]",2,500,0
18,0,163.99634249418605,174,0.014511699999275152,"[3, 7, 1, 4, 0, 2, 5, 6]",2,500,1
19,100,104.31347041678433,278,0.024497999998857267,"[5, 1, 7, 4, 3, 2, 6, 0]",2,500,1
20,200,104.31347041678433,291,0.02778989999933401,"[5, 1, 7, 4, 3, 2, 6, 0]",2,500,1
21,300,104.31347041678433,291,0.02778989999933401,"[5, 1, 7, 4, 3, 2, 6, 0]",2,500,1
22,400,104.31347041678433,291,0.02778989999933401,"[5, 1, 7, 4, 3, 2, 6, 0]",2,500,1
23,500,104.31347041678433,291,0.02778989999933401,"[5, 1, 7, 4, 3, 2, 6, 0]",2,500,1
24,0,191.0652227273065,291,0.0294791999986046,"[7, 4, 5, 1, 6, 3, 0, 2]",2,500,2
25,100,104.31347041678433,402,0.04223030000139261,"[4, 7, 1, 5, 0, 6, 2, 3]",2,500,2
26,200,104.31347041678433,431,0.04766879999806406,"[4, 7, 1, 5, 0, 6, 2, 3]",2,500,2
27,300,104.31347041678433,431,0.04766879999806406,"[4, 7, 1, 5, 0, 6, 2, 3]",2,500,2
28,400,104.31347041678433,431,0.04766879999806406,"[4, 7, 1, 5, 0, 6, 2, 3]",2,500,2
29,500,104.31347041678433,431,0.04766879999806406,"[4, 7, 1, 5, 0, 6, 2, 3]",2,500,2
30,0,194.74016767734764,0,0.00015580000035697594,"[1, 5, 0, 7, 2, 4, 3, 6]",3,500,0
31,100,104.31347041678433,104,0.018365300005825702,"[1, 5, 0, 6, 2, 3, 4, 7]",3,500,0
32,200,104.31347041678433,174,0.03142400000069756,"[1, 5, 0, 6, 2, 3, 4, 7]",3,500,0
33,300,104.31347041678433,174,0.03142400000069756,"[1, 5, 0, 6, 2, 3, 4, 7]",3,500,0
34,400,104.31347041678433,174,0.03142400000069756,"[1, 5, 0, 6, 2, 3, 4, 7]",3,500,0
35,500,104.31347041678433,174,0.03142400000069756,"[1, 5, 0, 6, 2, 3, 4, 7]",3,500,0
36,0,163.99634249418605,174,0.03426520000357414,"[3, 7, 1, 4, 0, 2, 5, 6]",3,500,1
37,100,104.31347041678433,278,0.05317479999939678,"[5, 1, 7, 4, 3, 2, 6, 0]",3,500,1
38,200,104.31347041678433,291,0.057093800001894124,"[5, 1, 7, 4, 3, 2, 6, 0]",3,500,1
39,300,104.31347041678433,291,0.057093800001894124,"[5, 1, 7, 4, 3, 2, 6, 0]",3,500,1
40,400,104.31347041678433,291,0.057093800001894124,"[5, 1, 7, 4, 3, 2, 6, 0]",3,500,1
41,500,104.31347041678433,291,0.057093800001894124,"[5, 1, 7, 4, 3, 2, 6, 0]",3,500,1
42,0,191.0652227273065,291,0.05919690000155242,"[7, 4, 5, 1, 6, 3, 0, 2]",3,500,2
43,100,104.31347041678433,402,0.07481120000011288,"[4, 7, 1, 5, 0, 6, 2, 3]",3,500,2
44,200,104.31347041678433,431,0.08723590000590775,"[4, 7, 1, 5, 0, 6, 2, 3]",3,500,2
45,300,104.31347041678433,431,0.08723590000590775,"[4, 7, 1, 5, 0, 6, 2, 3]",3,500,2
46,400,104.31347041678433,431,0.08723590000590775,"[4, 7, 1, 5, 0, 6, 2, 3]",3,500,2
47,500,104.31347041678433,431,0.08723590000590775,"[4, 7, 1, 5, 0, 6, 2, 3]",3,500,2
48,0,180.37024874952843,431,0.09189590000460157,"[0, 1, 3, 7, 2, 4, 5, 6]",3,500,3
49,100,104.31347041678433,537,0.12122420000378042,"[1, 7, 4, 3, 2, 6, 0, 5]",3,500,3
50,200,104.31347041678433,602,0.13319410000258358,"[1, 7, 4, 3, 2, 6, 0, 5]",3,500,3
51,300,104.31347041678433,602,0.13319410000258358,"[1, 7, 4, 3, 2, 6, 0, 5]",3,500,3
52,400,104.31347041678433,602,0.13319410000258358,"[1, 7, 4, 3, 2, 6, 0, 5]",3,500,3
53,500,104.31347041678433,602,0.13319410000258358,"[1, 7, 4, 3, 2, 6, 0, 5]",3,500,3
54,0,194.74016767734764,0,8.030000026337802e-05,"[1, 5, 0, 7, 2, 4, 3, 6]",4,500,0
55,100,104.31347041678433,104,0.006584499999007676,"[1, 5, 0, 6, 2, 3, 4, 7]",4,500,0
56,200,104.31347041678433,174,0.013297099998453632,"[1, 5, 0, 6, 2, 3, 4, 7]",4,500,0
57,300,104.31347041678433,174,0.013297099998453632,"[1, 5, 0, 6, 2, 3, 4, 7]",4,500,0
58,400,104.31347041678433,174,0.013297099998453632,"[1, 5, 0, 6, 2, 3, 4, 7]",4,500,0
59,500,104.31347041678433,174,0.013297099998453632,"[1, 5, 0, 6, 2, 3, 4, 7]",4,500,0
60,0,163.99634249418605,174,0.015993499997421168,"[3, 7, 1, 4, 0, 2, 5, 6]",4,500,1
61,100,104.31347041678433,278,0.026240300001518335,"[5, 1, 7, 4, 3, 2, 6, 0]",4,500,1
62,200,104.31347041678433,291,0.030286100001831073,"[5, 1, 7, 4, 3, 2, 6, 0]",4,500,1
63,300,104.31347041678433,291,0.030286100001831073,"[5, 1, 7, 4, 3, 2, 6, 0]",4,500,1
64,400,104.31347041678433,291,0.030286100001831073,"[5, 1, 7, 4, 3, 2, 6, 0]",4,500,1
65,500,104.31347041678433,291,0.030286100001831073,"[5, 1, 7, 4, 3, 2, 6, 0]",4,500,1
66,0,191.0652227273065,291,0.032985700003337115,"[7, 4, 5, 1, 6, 3, 0, 2]",4,500,2
67,100,104.31347041678433,402,0.057995700000901707,"[4, 7, 1, 5, 0, 6, 2, 3]",4,500,2
68,200,104.31347041678433,431,0.07035950000135927,"[4, 7, 1, 5, 0, 6, 2, 3]",4,500,2
69,300,104.31347041678433,431,0.07035950000135927,"[4, 7, 1, 5, 0, 6, 2, 3]",4,500,2
70,400,104.31347041678433,431,0.07035950000135927,"[4, 7, 1, 5, 0, 6, 2, 3]",4,500,2
71,500,104.31347041678433,431,0.07035950000135927,"[4, 7, 1, 5, 0, 6, 2, 3]",4,500,2
72,0,180.37024874952843,431,0.07562409999809461,"[0, 1, 3, 7, 2, 4, 5, 6]",4,500,3
73,100,104.31347041678433,537,0.10666820000187727,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,3
74,200,104.31347041678433,602,0.13121210000099381,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,3
75,300,104.31347041678433,602,0.13121210000099381,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,3
76,400,104.31347041678433,602,0.13121210000099381,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,3
77,500,104.31347041678433,602,0.13121210000099381,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,3
78,0,167.89205317400493,602,0.13707489999796962,"[5, 1, 6, 0, 3, 2, 7, 4]",4,500,4
79,100,109.63631319731314,708,0.17463470000075176,"[7, 1, 4, 3, 2, 6, 0, 5]",4,500,4
80,200,104.31347041678433,809,0.21739220000017667,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,4
81,300,104.31347041678433,842,0.23659529999713413,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,4
82,400,104.31347041678433,842,0.23659529999713413,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,4
83,500,104.31347041678433,842,0.23659529999713413,"[1, 7, 4, 3, 2, 6, 0, 5]",4,500,4
84,0,194.74016767734764,0,0.00011339999764459208,"[1, 5, 0, 7, 2, 4, 3, 6]",5,500,0
85,100,104.31347041678433,104,0.014462400002230424,"[1, 5, 0, 6, 2, 3, 4, 7]",5,500,0
86,200,104.31347041678433,174,0.02915490000304999,"[1, 5, 0, 6, 2, 3, 4, 7]",5,500,0
87,300,104.31347041678433,174,0.02915490000304999,"[1, 5, 0, 6, 2, 3, 4, 7]",5,500,0
88,400,104.31347041678433,174,0.02915490000304999,"[1, 5, 0, 6, 2, 3, 4, 7]",5,500,0
89,500,104.31347041678433,174,0.02915490000304999,"[1, 5, 0, 6, 2, 3, 4, 7]",5,500,0
90,0,163.99634249418605,174,0.035577499998908024,"[3, 7, 1, 4, 0, 2, 5, 6]",5,500,1
91,100,104.31347041678433,278,0.05541819999780273,"[5, 1, 7, 4, 3, 2, 6, 0]",5,500,1
92,200,104.31347041678433,291,0.06071479999809526,"[5, 1, 7, 4, 3, 2, 6, 0]",5,500,1
93,300,104.31347041678433,291,0.06071479999809526,"[5, 1, 7, 4, 3, 2, 6, 0]",5,500,1
94,400,104.31347041678433,291,0.06071479999809526,"[5, 1, 7, 4, 3, 2, 6, 0]",5,500,1
95,500,104.31347041678433,291,0.06071479999809526,"[5, 1, 7, 4, 3, 2, 6, 0]",5,500,1
96,0,191.0652227273065,291,0.06442600000445964,"[7, 4, 5, 1, 6, 3, 0, 2]",5,500,2
97,100,104.31347041678433,402,0.08834100000240142,"[4, 7, 1, 5, 0, 6, 2, 3]",5,500,2
98,200,104.31347041678433,431,0.09570959999837214,"[4, 7, 1, 5, 0, 6, 2, 3]",5,500,2
99,300,104.31347041678433,431,0.09570959999837214,"[4, 7, 1, 5, 0, 6, 2, 3]",5,500,2
100,400,104.31347041678433,431,0.09570959999837214,"[4, 7, 1, 5, 0, 6, 2, 3]",5,500,2
101,500,104.31347041678433,431,0.09570959999837214,"[4, 7, 1, 5, 0, 6, 2, 3]",5,500,2
102,0,180.37024874952843,431,0.09957500000018626,"[0, 1, 3, 7, 2, 4, 5, 6]",5,500,3
103,100,104.31347041678433,537,0.13272580000193557,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,3
104,200,104.31347041678433,602,0.16015930000139633,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,3
105,300,104.31347041678433,602,0.16015930000139633,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,3
106,400,104.31347041678433,602,0.16015930000139633,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,3
107,500,104.31347041678433,602,0.16015930000139633,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,3
108,0,167.89205317400493,602,0.16856479999842122,"[5, 1, 6, 0, 3, 2, 7, 4]",5,500,4
109,100,109.63631319731314,708,0.2102703999989899,"[7, 1, 4, 3, 2, 6, 0, 5]",5,500,4
110,200,104.31347041678433,809,0.25698750000447035,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,4
111,300,104.31347041678433,842,0.27554809999855934,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,4
112,400,104.31347041678433,842,0.27554809999855934,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,4
113,500,104.31347041678433,842,0.27554809999855934,"[1, 7, 4, 3, 2, 6, 0, 5]",5,500,4
114,0,149.03062611218417,842,0.28067449999798555,"[5, 3, 6, 0, 2, 1, 4, 7]",5,500,5
115,100,104.31347041678433,946,0.30699509999976726,"[5, 0, 6, 2, 3, 4, 7, 1]",5,500,5
116,200,104.31347041678433,984,0.32060260000434937,"[5, 0, 6, 2, 3, 4, 7, 1]",5,500,5
117,300,104.31347041678433,984,0.32060260000434937,"[5, 0, 6, 2, 3, 4, 7, 1]",5,500,5
118,400,104.31347041678433,984,0.32060260000434937,"[5, 0, 6, 2, 3, 4, 7, 1]",5,500,5
119,500,104.31347041678433,984,0.32060260000434937,"[5, 0, 6, 2, 3, 4, 7, 1]",5,500,5
