,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,194.74016767734764,0,0.00020560000120894983,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,1,0.99,0.001,0.9999979336530712,1,500
1,100,104.31347041678433,106,0.010768699998152442,"[1, 5, 0, 6, 2, 3, 4, 7]",geometric,1,0.99,0.001,0.9998917768048655,1,500
2,200,104.31347041678433,206,0.02453389999573119,"[1, 5, 0, 6, 2, 3, 4, 7]",geometric,1,0.99,0.001,0.9997534564621009,1,500
3,300,104.31347041678433,306,0.03736180000123568,"[1, 5, 0, 6, 2, 3, 4, 7]",geometric,1,0.99,0.001,0.9996245718526865,1,500
4,400,104.31347041678433,406,0.056271100002049934,"[1, 5, 0, 6, 2, 3, 4, 7]",geometric,1,0.99,0.001,0.9994346164356896,1,500
5,500,104.31347041678433,506,0.07841309999639634,"[1, 5, 0, 6, 2, 3, 4, 7]",geometric,1,0.99,0.001,0.9992122324616226,1,500
6,0,194.74016767734764,0,0.0001680000059423037,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,10000,0.99,0.001,9999.983115449424,10000,500
7,100,109.63631319731316,200,0.012009500002022833,"[6, 2, 3, 4, 1, 7, 5, 0]",geometric,10000,0.99,0.001,9998.793077754397,10000,500
8,200,221.41710585582695,400,0.0253318000031868,"[6, 4, 2, 0, 7, 5, 3, 1]",geometric,10000,0.99,0.001,9997.454393082668,10000,500
9,300,167.26138169143144,600,0.04080130000511417,"[4, 5, 3, 1, 2, 6, 0, 7]",geometric,10000,0.99,0.001,9995.900172975751,10000,500
10,400,164.93410870617117,797,0.05753810000169324,"[2, 1, 3, 0, 6, 5, 4, 7]",geometric,10000,0.99,0.001,9994.218899406625,10000,500
11,500,130.08154475049903,988,0.0828172000037739,"[0, 5, 3, 2, 4, 7, 1, 6]",geometric,10000,0.99,0.001,9991.680056249284,10000,500
12,0,194.74016767734764,0,0.00010099999781232327,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,1000000,0.99,0.001,999998.984916616,1000000,500
13,100,109.63631319731316,200,0.009239300001354422,"[6, 2, 3, 4, 1, 7, 5, 0]",geometric,1000000,0.99,0.001,999907.146243112,1000000,500
14,200,221.41710585582695,400,0.02280379999865545,"[6, 4, 2, 0, 7, 5, 3, 1]",geometric,1000000,0.99,0.001,999770.8404123478,1000000,500
15,300,167.26138169143144,600,0.036123799996858,"[4, 5, 3, 1, 2, 6, 0, 7]",geometric,1000000,0.99,0.001,999637.0095746985,1000000,500
16,400,198.47140113111513,800,0.051463299998431467,"[3, 2, 1, 0, 5, 7, 6, 4]",geometric,1000000,0.99,0.001,999482.9102878761,1000000,500
17,500,198.6446630744777,1000,0.06904290000238689,"[1, 0, 5, 7, 2, 4, 6, 3]",geometric,1000000,0.99,0.001,999306.3363626117,1000000,500
18,0,194.74016767734764,0,8.140000136336312e-05,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,100000000,0.99,0.001,99999918.19029824,100000000,500
19,100,109.63631319731316,200,0.009366900005261414,"[6, 2, 3, 4, 1, 7, 5, 0]",geometric,100000000,0.99,0.001,99990586.3940118,100000000,500
20,200,221.41710585582695,400,0.020740800006024074,"[6, 4, 2, 0, 7, 5, 3, 1]",geometric,100000000,0.99,0.001,99979156.9718679,100000000,500
21,300,167.26138169143144,600,0.03379060000588652,"[4, 5, 3, 1, 2, 6, 0, 7]",geometric,100000000,0.99,0.001,99966045.07811382,100000000,500
22,400,198.47140113111513,800,0.04920440000569215,"[3, 2, 1, 0, 5, 7, 6, 4]",geometric,100000000,0.99,0.001,99950560.15097032,100000000,500
23,500,198.6446630744777,1000,0.06639370000630151,"[1, 0, 5, 7, 2, 4, 6, 3]",geometric,100000000,0.99,0.001,99933294.35974903,100000000,500
24,0,194.74016767734764,0,8.039999374886975e-05,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,10000000000,0.99,0.001,9999991919.533867,10000000000,500
25,100,109.63631319731316,200,0.009120099995925557,"[6, 2, 3, 4, 1, 7, 5, 0]",geometric,10000000000,0.99,0.001,9999083441.326792,10000000000,500
26,200,221.41710585582695,400,0.02022669999860227,"[6, 4, 2, 0, 7, 5, 3, 1]",geometric,10000000000,0.99,0.001,9997967355.328276,10000000000,500
27,300,167.26138169143144,600,0.035686099996382836,"[4, 5, 3, 1, 2, 6, 0, 7]",geometric,10000000000,0.99,0.001,9996414070.19572,10000000000,500
28,400,198.47140113111513,800,0.05533659999491647,"[3, 2, 1, 0, 5, 7, 6, 4]",geometric,10000000000,0.99,0.001,9994440032.085924,10000000000,500
29,500,198.6446630744777,1000,0.07365259999642149,"[1, 0, 5, 7, 2, 4, 6, 3]",geometric,10000000000,0.99,0.001,9992600405.38682,10000000000,500
30,0,194.74016767734764,0,8.009999874047935e-05,"[1, 5, 0, 7, 2, 4, 3, 6]",geometric,1000000000000,0.99,0.001,999999194968.4348,1000000000000,500
31,100,109.63631319731316,200,0.009256799996364862,"[6, 2, 3, 4, 1, 7, 5, 0]",geometric,1000000000000,0.99,0.001,999906970378.6315,1000000000000,500
32,200,221.41710585582695,400,0.022410400000808295,"[6, 4, 2, 0, 7, 5, 3, 1]",geometric,1000000000000,0.99,0.001,999774793316.2137,1000000000000,500
33,300,167.26138169143144,600,0.036255299994081724,"[4, 5, 3, 1, 2, 6, 0, 7]",geometric,1000000000000,0.99,0.001,999635688436.1697,1000000000000,500
34,400,198.47140113111513,800,0.05303029999777209,"[3, 2, 1, 0, 5, 7, 6, 4]",geometric,1000000000000,0.99,0.001,999467169679.131,1000000000000,500
35,500,198.6446630744777,1000,0.07197979999909876,"[1, 0, 5, 7, 2, 4, 6, 3]",geometric,1000000000000,0.99,0.001,999276840441.3444,1000000000000,500
