,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,10.0,0,0.0004485999816097319,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,1,0.99,0.001,0.9999954914296846,1,8192
1,1,8.0,2,0.005160200002137572,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9999481396017043,1,8192
2,2,5.0,4,0.009493699995800853,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9999045896784041,1,8192
3,4,5.0,8,0.01392839997424744,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9998600246998135,1,8192
4,8,5.0,15,0.01867109999875538,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9998123667795732,1,8192
5,16,4.0,30,0.024459099979139864,"[6, 4, 6, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9997542080423292,1,8192
6,32,4.0,49,0.03235679998761043,"[1, 4, 6, 0, 2, 7, 6, 4]",geometric,1,0.99,0.001,0.9996748561636978,1,8192
7,64,3.0,92,0.04250909999245778,"[7, 4, 6, 0, 2, 7, 7, 7]",geometric,1,0.99,0.001,0.9995728605182994,1,8192
8,128,2.0,167,0.05769809999037534,"[1, 4, 6, 0, 2, 5, 5, 7]",geometric,1,0.99,0.001,0.9994202828179639,1,8192
9,256,0.0,306,0.0858818999840878,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9991372304612738,1,8192
10,512,0.0,562,0.1459776999836322,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9985339507896692,1,8192
11,1024,0.0,785,0.2115699999849312,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978759095233627,1,8192
12,2048,0.0,785,0.2115699999849312,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978759095233627,1,8192
13,4096,0.0,785,0.2115699999849312,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978759095233627,1,8192
14,8192,0.0,785,0.2115699999849312,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9978759095233627,1,8192
15,0,10.0,0,0.000384599989047274,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,10,0.99,0.001,9.999961346484113,10,8192
16,1,8.0,2,0.007001599995419383,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.999296340443342,10,8192
17,2,5.0,4,0.013044699997408316,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.998689049776214,10,8192
18,4,5.0,8,0.019935599993914366,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.997996605952393,10,8192
19,8,5.0,16,0.027260799979558215,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.997260573337165,10,8192
20,16,5.0,32,0.03559439998934977,"[2, 4, 5, 7, 0, 7, 3, 0]",geometric,10,0.99,0.001,9.996423283053801,10,8192
21,32,4.0,62,0.047092199994949624,"[6, 7, 5, 2, 6, 1, 7, 4]",geometric,10,0.99,0.001,9.995268195591628,10,8192
22,64,8.0,126,0.062425299984170124,"[7, 1, 3, 3, 5, 4, 7, 3]",geometric,10,0.99,0.001,9.99372801540638,10,8192
23,128,8.0,248,0.08432080000056885,"[5, 1, 1, 5, 4, 4, 2, 0]",geometric,10,0.99,0.001,9.99152906626894,10,8192
24,256,5.0,463,0.13093309997930191,"[0, 7, 4, 2, 5, 1, 0, 4]",geometric,10,0.99,0.001,9.98684943816074,10,8192
25,512,0.0,749,0.1982230999856256,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.980097744018764,10,8192
26,1024,0.0,1086,0.3004711999965366,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.969847186455032,10,8192
27,2048,0.0,1086,0.3004711999965366,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.969847186455032,10,8192
28,4096,0.0,1086,0.3004711999965366,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.969847186455032,10,8192
29,8192,0.0,1086,0.3004711999965366,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.969847186455032,10,8192
